,Survey_number,School,confident_peers_pre,respond_struggling_pre,challenging_stigma_pre,confident_post,respond_struggling_post,challenging_stigma_post,use_training,participate,contribute,goal
1,2018,Kelso,5,4,3,NA,NA,NA,5,5,5,NA
2,2018,Kelso,2,3,3,5,4,4,4,4,4,NA
3,2018,Kelso,2,2,2,5,5,5,5,5,5,NA
4,2018,Kelso,5,3,3,5,5,4,4,5,5,NA
5,2018,Kelso,2,3,3,4,3,3,3,4,5,4
6,2018,Kelso,5,4,3,5,5,4,5,5,5,NA
7,2018,Kelso,2,5,3,4,4,4,4,4,4,NA
8,2018,Kelso,3,3,4,4,5,3,4,5,5,NA
9,2018,Kelso,3,5,4,4,1,1,4,3,3,5
10,2018,Kelso,4,4,4,5,4,5,4,5,5,NA
11,2018,Kelso,3,4,3,5,5,4,5,5,5,NA
12,2018,Kelso,4,4,4,5,4,5,5,5,5,5
13,2018,Kelso,3,4,3,4,5,4,4,5,5,NA
14,2018,Kelso,4,5,5,NA,NA,NA,NA,NA,NA,5
15,2018,Kelso,4,4,4,4,4,4,4,5,5,NA
16,2018,Kelso,5,5,5,5,5,4,5,5,5,NA
17,2018,Kelso,5,5,5,5,5,5,5,5,5,NA
18,2018,Kelso,1,2,2,NA,NA,NA,NA,NA,NA,NA
19,2018,Kelso,4,3,3,4,5,5,5,5,5,NA
20,2018,Kelso,4,4,4,5,5,5,5,5,5,NA
21,2018,Kelso,3,4,3,5,5,4,5,5,5,NA
22,2018,Kelso,3,5,4,5,5,5,5,5,5,NA
23,2018,Kelso,5,4,4,5,4,4,5,5,5,1
24,2018,Kelso,4,4,4,4,4,4,5,5,5,1
25,2018,Kelso,3,5,3,NA,NA,NA,NA,NA,NA,4
26,2018,Kelso,3,4,4,4,4,4,5,5,5,1
27,2018,Kelso,4,4,4,5,5,3,5,4,3,NA
28,2018,Kelso,4,2,4,5,5,4,5,4,3,NA
29,2018,Kelso,4,4,4,5,5,4,5,5,5,1
30,2018,Kelso,4,3,3,NA,NA,NA,5,5,5,5
31,2018,Kelso,4,5,5,5,4,5,5,5,5,NA
32,2018,Kelso,5,5,5,5,5,5,5,5,5,NA
33,2018,Kelso,4,4,3,NA,NA,NA,NA,NA,NA,NA
34,2018,Kelso,4,5,4,5,4,4,4,4,5,NA
35,2018,Kelso,4,4,4,4,4,4,4,5,5,NA
36,2018,Kelso,4,4,4,5,5,5,5,5,4,4
37,2018,Kelso,3,4,3,4,4,4,4,5,4,5
38,2018,Kelso,3,4,4,5,4,4,5,5,5,4
